Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Ramon Menezes,CEA,Zagueiro,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Matheus Bahia,CEA,Lateral,5.87,4.4,2,1.0,3.0,3.0,,,,,1.0,,,1.0,,,,,,,,,
Fabiano Souza,CEA,Lateral,6.47,4.97,4,2.0,8.0,7.0,,,10.0,,1.0,,1.0,1.0,,,,,,,,,
Nicolas,CEA,Lateral,5.66,6.5,1,,1.0,,,,,,1.0,,,,,,,,,,,,
Palacios,COR,Lateral,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Carrillo,COR,Meia,6.5,2.1,4,,6.0,8.0,,,2.0,,,,1.0,,,,,,,,,,
Gustavo Henrique,COR,Zagueiro,7.52,3.5,2,,4.0,1.0,,,1.0,,,,1.0,,,,,,,,,,
Matheus Araújo,CEA,Meia,6.73,5.23,3,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,
Rômulo,CEA,Meia,3.77,-0.2,3,,,2.0,,,,,,,,,,,,,,,,,
Ángel Romero,COR,Atacante,8.87,4.44,5,,6.0,2.0,,,4.0,,,1.0,2.0,2.0,2.0,,,,,,,1.0,
Félix Torres,COR,Zagueiro,7.15,4.83,3,1.0,7.0,7.0,,,1.0,,1.0,,2.0,,,,,,,,,,
Keiller,CEA,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Raniele,COR,Meia,5.99,3.62,4,1.0,8.0,5.0,,,10.0,,,,,,,,,,,,,,
Alex Santana,COR,Meia,4.9,0.6,2,,,2.0,,,2.0,,,,1.0,,,,,,,,,,
Maycon,COR,Meia,4.35,1.62,4,,4.0,,,,1.0,,,,,,,,,,,,,,
Alejandro Martínez,CEA,Atacante,4.93,4.55,2,,2.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,
Héctor Hernández,COR,Atacante,4.25,2.4,5,,2.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,
Gabriel Lacerda,CEA,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Cacá,COR,Zagueiro,5.48,1.95,2,,2.0,2.0,,,3.0,,,,,,,,,,,,,,
Breno Bidon,COR,Meia,7.78,4.04,5,2.0,8.0,16.0,,,12.0,,,1.0,2.0,2.0,,,,,,,,,
Matheus Bidu,COR,Lateral,8.35,5.45,2,,4.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
Matheus Donelli,COR,Goleiro,4.42,3.08,5,1.0,,,13.0,,1.0,6.0,1.0,,,,,,,,,,,,
Léo Maná,COR,Lateral,3.01,1.3,2,,2.0,1.0,,,,,,,,,1.0,,,,,,,,
André Ramalho,COR,Zagueiro,5.25,1.7,3,1.0,1.0,3.0,,,1.0,,1.0,,,,,,,,,,,,
José Martínez,COR,Meia,3.1,0.0,3,3.0,2.0,5.0,,,5.0,,,,,,,,,,,,1.0,,
Marcos Victor,CEA,Zagueiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Igor Coronado,COR,Meia,6.6,1.75,2,,2.0,,,,1.0,,,,,,,,,,,,,,
Charles,COR,Meia,4.61,1.5,1,,1.0,,,,,,,,,,,,,,,,,,
Lucas Silva,CRU,Meia,5.61,3.6,4,,2.0,7.0,,,3.0,,,2.0,1.0,1.0,,,,,,,,,
